Alphagram,Probability,Bag Draw Combo
AAEINOR,1,1119744
AAEINOT,2,1119744
AAEIORT,3,1119744
ADEINOT,4,1119744
ADEIORT,5,1119744
AEIINOT,6,1119744
AEILORT,7,1119744
AEINORU,8,1119744
AEINOTU,9,1119744
AEIORTU,10,1119744
ADEEINO,11,1026432
ADEEIOR,12,1026432
AEEILOR,13,1026432
AEEILOT,14,1026432
AEEINOS,15,1026432
AEEIORS,16,1026432
AEEIOST,17,1026432
AEENORT,18,1026432
EEINORT,19,1026432
AAEINRT,20,839808
AEGINOT,21,839808
AAEEIRT,22,769824
ADEEINR,23,769824
ADEEINT,24,769824
ADEEIRT,25,769824
AEEIINR,26,769824
AEEIINT,27,769824
AEEIIRT,28,769824
AEEINRS,29,769824
AEEINRU,30,769824
AADEIOT,31,746496
AAEIORS,32,746496
AAEIOTU,33,746496
AAENORT,34,746496
ADEIINO,35,746496
ADEIIOT,36,746496
ADEILNO,37,746496
ADEILOT,38,746496
ADEINOU,39,746496
ADEIORU,40,746496
AEIILNO,41,746496
AEILNOU,42,746496
AEILORS,43,746496
AEINOSU,44,746496
AEIORSU,45,746496
AEIOSTU,46,746496
AELNORT,47,746496
DEINORT,48,746496
EIINORT,49,746496
AEINNOR,50,699840
AEINORR,51,699840
AEINOTT,52,699840
AEIORRT,53,699840
AEIORTT,54,699840
AAEENOR,55,684288
AAEEORT,56,684288
ADEEILO,57,684288
ADEENOR,58,684288
ADEENOT,59,684288
ADEEORT,60,684288
AEEILOU,61,684288
AEELNOR,62,684288
AEELNOT,63,684288
AEELORT,64,684288
AEENORU,65,684288
AEENOST,66,684288
AEENOTU,67,684288
DEEINOT,68,684288
DEEIORT,69,684288
EEIINOR,70,684288
EEIINOT,71,684288
EEIIORT,72,684288
EEILNOT,73,684288
EEINORS,74,684288
EEINOST,75,684288
EEIORTU,76,684288
AEILOOR,77,653184
AENOORT,78,653184
EINOORT,79,653184
AEEEINT,80,641520
AEEIOTT,81,641520
AEENOOR,82,598752
AEENOOT,83,598752
AEEOORT,84,598752
EEINOOT,85,598752
AEEGINT,86,577368
AEEGIRT,87,577368
AADEINT,88,559872
AAEGINO,89,559872
AAEGIOT,90,559872
AAEIINT,91,559872
AAEIIRT,92,559872
AAEILNR,93,559872
AAEILRT,94,559872
AAEINRS,95,559872
AAEINRU,96,559872
AAEINTU,97,559872
AAEIRTU,98,559872
AAINORT,99,559872
ABEINOR,100,559872
ABEIORT,101,559872
ACEINOR,102,559872
ADEGINO,103,559872
ADEGIOR,104,559872
ADEIIRT,105,559872
ADEILNR,106,559872
ADEILNT,107,559872
ADEIRTU,108,559872
AEFINOR,109,559872
AEFINOT,110,559872
AEFIORT,111,559872
AEGIINO,112,559872
AEGILNO,113,559872
AEGILOR,114,559872
AEGILOT,115,559872
AEGIORS,116,559872
AEGIOTU,117,559872
AEHINOR,118,559872
AEHINOT,119,559872
AEHIORT,120,559872
AEIILNT,121,559872
AEIILRT,122,559872
AEIINRU,123,559872
AEIINTU,124,559872
AEILNRU,125,559872
AEIMORT,126,559872
AEINOPR,127,559872
AEINOPT,128,559872
AEINORV,129,559872
AEINORW,130,559872
AEINOTV,131,559872
AEINRSU,132,559872
AEIOPRT,133,559872
AEIORTV,134,559872
AEIRSTU,135,559872
AIINORT,136,559872
AILNORT,137,559872
AADEEIR,138,513216
AADEEIT,139,513216
AAEEILN,140,513216
AAEEILT,141,513216
AAEEINS,142,513216
AAEENRT,143,513216
ACEEIOT,144,513216
ADEEIIR,145,513216
ADEEIIT,146,513216
ADEEILT,147,513216
ADEEINU,148,513216
ADEENRT,149,513216
AEEFIOR,150,513216
AEEGILO,151,513216
AEEGIOU,152,513216
AEEGNOR,153,513216
AEEGNOT,154,513216
AEEGORT,155,513216
AEEIIST,156,513216
AEEILNU,157,513216
AEEILST,158,513216
AEEILTU,159,513216
AEEIMOT,160,513216
AEEINOP,161,513216
AEEINSU,162,513216
AEEIRSU,163,513216
AEEISTU,164,513216
AEENRTU,165,513216
DEEINRT,166,513216
EEGINOR,167,513216
EEGINOT,168,513216
EEGIORT,169,513216
EEILNRT,170,513216
AADEIOS,171,497664
AADEIOU,172,497664
AADENOT,173,497664
AADEORT,174,497664
AAEILOS,175,497664
AAELNOR,176,497664
AAELNOT,177,497664
AAELORT,178,497664
AAENORS,179,497664
AAENORU,180,497664
AAENOST,181,497664
AAENOTU,182,497664
AAEORTU,183,497664
ADEIOSU,184,497664
ADENORS,185,497664
ADENOTU,186,497664
AEILOSU,187,497664
AELNOTU,188,497664
AEORSTU,189,497664
DEIINOR,190,497664
DEILNOR,191,497664
DEINOTU,192,497664
EIILORT,193,497664
EILNORU,194,497664
EINOSTU,195,497664
AEEINNR,196,481140
AEEINNT,197,481140
